first,last,theList
Mark,McGwire,TRUE
Sammy,Sosa,TRUE
Barry,Bonds,TRUE
Alex,Rodriguez,TRUE
Manny,Ramirez,TRUE
David,Ortiz,TRUE
Marvin,Bernard,TRUE
Bobby,Estalella,TRUE
Jason,Giambi,TRUE
Jeremy,Giambi,TRUE
Benito,Santiago,TRUE
Gary,Sheffield,TRUE
Randy,Velarde,TRUE
David,Segui,TRUE
Larry,Bigbie,TRUE
Jack,Cust,TRUE
Brian,Roberts,TRUE
Josias,Manzanillo,TRUE
Todd,Hundley,TRUE
Matt,Franco,TRUE
Rondell,White,TRUE
Roger,Clemens,TRUE
Andy,Pettite,TRUE
Jason,Grimsley,TRUE
Greg,Zaun,TRUE
Mo,Vaugn,TRUE
Denny,Neagle,TRUE
Ron,Villone,TRUE
Ryan,Franklin,TRUE
Todd,Pratt,TRUE
Kevin,Young,TRUE
Kent,Mercker,TRUE
Adam,Piatt,TRUE
Miguel,Tejada,TRUE
Jason,Christenson,TRUE
Mike,Stanton,TRUE
Stephen,Randolph,TRUE
Jerry,Hairston Jr.,TRUE
Paul,LoDuca,TRUE
Adam,Riggs,TRUE
Fernando,Vina,TRUE
Kevin,Brown,TRUE
Eric,Gagne,TRUE
Matt,Herges,TRUE
Garry,Bennett,TRUE
Jim,Parque,TRUE
Brendan,Donnelly,TRUE
Chad,Allen,TRUE
Howie,Clark,TRUE
Derrick,Turnbow,TRUE
Rafael,Palmeiro,TRUE
Rick,Ankiel,TRUE
David,Bell,TRUE
Paul,Byrd,TRUE
Jay,Gibbons,TRUE
Troy,Glaus,TRUE
Jose,Gullien,TRUE
Darren,Holmes,TRUE
Scott,Schoenweis,TRUE
Ismael,Valdez,TRUE
Matt,Williams,TRUE
Steve,Woodard,TRUE
Juan,Rincon,TRUE
Alex,Sanchez,TRUE
Rafael,Bettencourt,TRUE
Matt,Lawton,TRUE
Felix,Heredia,TRUE
Carlos,Almanzar,TRUE
Guillermo,Mota,TRUE
Neifi,Perez,TRUE
JC,Romero,TRUE
Richie,Sexson,TRUE
Carlos,Delgado,TRUE
Andrew,Jones,TRUE
Preston,Wilson,TRUE
Brett,Boone ,TRUE
Jeremy,Burnitz,TRUE
Reggie,Sanders ,TRUE
Dmitri,Young ,TRUE
Carl,Everett ,TRUE
Richard,Hildago,TRUE
Jay,Payton,TRUE
Jose,Valentin,TRUE
Luis,Gonzalez ,TRUE
Tony,Batista ,TRUE
Morgan,Ensberg ,TRUE
Raul,Mondesi ,TRUE
Brian,Giles,TRUE
Marcus,Giles,TRUE
Shawn,Green,TRUE
Jason,Varitek,TRUE
Kevin,Millar,TRUE
Travis,Hafner,TRUE
Edgardo,Alfonso,TRUE
Phil,Nevin,TRUE
Ryan,Klesko,TRUE
Shane,Spencer ,TRUE
Ruben,Sierra,TRUE
Ellis,Burks,TRUE
Jim,Thome,TRUE
Javy,Lopez,TRUE
Albert,Pujols,TRUE
Jim,Edmonds,TRUE
Alfonso,Soriano,TRUE
Aubrey,Huff,TRUE
Vernon,Wells,TRUE
Carlos,Lee,TRUE
Jorge,Posada,TRUE
Magglio,Ordonez,TRUE
Vincente,Padilla,TRUE
Brett,Myers,TRUE
Craig,Biggio,TRUE
Rocco,Baldelli,TRUE
Johnny,Damon,TRUE
Trot,Nixon,TRUE
Casey,Blake,TRUE
Jose,Lima,TRUE
Eric,Byrnes,TRUE
Adrian,Beltre,TRUE
Geoff,Jenkins,TRUE
Andres,Galarraga,TRUE
Luis, Gonzalez, TRUE
Jeff, Bagwell, TRUE
Jose, Canseco, TRUE